Common Core of Data CD-ROM -- School Years 1996-1997 through 1999-2000
School Year 1998-99 Public School Universe data
Corrections to Agency Locale Codes
using Version 1c of the Public School Universe data files, dated June 2001

                                                          |     Locale Code     |
2400060 ANNE ARUNDEL COUNTY PUB SCHLS                     |     7         3     |
2400150 CALVERT COUNTY PUBLIC SCHOOLS                     |     4         8     |
2400240 BOARD OF ED OF CECIL COUNTY                       |     4         8     |
2400270 BOARD OF EDUC, CHARLES COUNTY                     |     8         3     |
2400330 FREDERICK COUNTY BOARD OF ED                      |     7         3     |
2400390 HARFORD COUNTY PUBLIC SCHOOLS                     |     8         3     |

                                                          |     Locale Code     |
                                                          | ------------------- |
NCES ID Agency                                            | Value in  Corrected |
Agency  Name                                              |  CD-ROM     value   |
------- --------------------------------------------------| --------  --------- |
2400510 PRINCE GEORGES COUNTY PUB SCHS                    |     4         3     |
2400540 BOARD OF ED,QUEEN ANNES COUNTY                    |     7         8     |
2400600 SAINT MARYS COUNTY PUBLIC SCHS                    |     6         7     |
2400660 BOARD OF ED, WASHINGTON COUNTY                    |     7         2     |
2500002 SPENCER-E BROOKFIELD                              |     6         3     |
2500038 FRANCIS W PARKER CHARTER                          |     6         8     |
2502530 BERKSHIRE HILLS                                   |     6         7     |
2502970 BREWSTER                                          |     6         8     |
2503330 CARLISLE                                          |     6         8     |
2503360 CARVER                                            |     6         8     |
2504560 NAUSET                                            |     4         8     |
2505270 GILL-MONTAGUE                                     |     4         7     |
2505490 GREENFIELD                                        |     8         7     |
2505500 GROTON-DUNSTABLE                                  |     8         3     |
2506330 HOPKINTON                                         |     7         8     |
2506570 LAKEVILLE                                         |     4         8     |
2508310 NASHOBA                                           |     4         8     |
2508790 NORTH MIDDLESEX                                   |     4         8     |
2509180 ORANGE                                            |     3         7     |
2509210 ORLEANS                                           |     7         8     |
2509900 RALPH C MAHAR                                     |     8         7     |
2510080 RICHMOND                                          |     6         8     |
2510710 SHERBORN                                          |     7         8     |
2511370 SUNDERLAND                                        |     1         8     |
2511740 TRITON                                            |     7         8     |
2511880 WACHUSETT                                         |     7         8     |
2512060 WAREHAM                                           |     4         8     |
2600066 GVSU--DISCOVERY ELEM. SCHOOL                      |     7         8     |
2601920 ADDISON COMMUNITY SCHOOLS                         |     7         8     |
2603240 ARMADA AREA SCHOOLS                               |     7         8     |
2603870 BANGOR PUBLIC SCHS. (VAN BUREN                    |     3         8     |
2604650 BELLEVUE COMMUNITY SCHOOLS                        |     7         8     |
2606270 BLOOMINGDALE PUBLIC SCHOOL DIS                    |     7         8     |
2606780 BRIDGEPORT-SPAULDING COMM. S/D                    |     7         4     |
